Zone C Data, Big Bean Field
x_[m] y_[m] thickness_[m] por_[%] perm_[mD] logPerm logPermPrd logPermRsd
12100 8300 30.9743 8.9653 0.1018 -0.9924 -0.7474 -0.245
5300 8700 36.2195 9.4561 0.2174 -0.6628 -0.5974 -0.0654
3500 13900 31.118 10.1571 0.5029 -0.2985 -0.3832 0.0847
5100 1900 37.2154 11.3726 1.3114 0.1177 -0.0118 0.1295
9900 13700 32.2085 11.0225 -999.9999 -999.9999 -999.9999 -999.9999
2900 900 37.1296 10.7097 0.8926 -0.0494 -0.2143 0.165
7900 6700 30.0772 9.9939 -999.9999 -999.9999 -999.9999 -999.9999
16900 4900 30.4265 9.3808 0.0981 -1.0084 -0.6204 -0.388
18700 1500 34.041 10.5621 -999.9999 -999.9999 -999.9999 -999.9999
2700 2100 36.3278 11.2586 -999.9999 -999.9999 -999.9999 -999.9999
10700 5100 29.2036 9.2849 0.2334 -0.6318 -0.6497 0.0179
7500 12900 32.7391 8.9 -999.9999 -999.9999 -999.9999 -999.9999
5500 11100 32.6538 9.4425 -999.9999 -999.9999 -999.9999 -999.9999
9500 9100 28.8711 11.0012 0.6166 -0.21 -0.1253 -0.0847
15300 3100 30.838 10.1742 0.7149 -0.1458 -0.378 0.2322
4700 9700 35.9835 9.2679 0.2846 -0.5458 -0.6549 0.1091
16700 15700 33.4335 10.1927 -999.9999 -999.9999 -999.9999 -999.9999
19500 9700 32.0818 10.7996 0.4602 -0.3371 -0.1869 -0.1502
16900 13100 32.8485 9.8014 0.5 -0.301 -0.4919 0.1908
900 3700 35.8169 9.8911 0.1454 -0.8375 -0.4645 -0.373
500 11900 34.4844 11.0858 -999.9999 -999.9999 -999.9999 -999.9999
9100 1300 33.2607 8.3071 0.1244 -0.905 -0.9486 0.0435
9100 13700 32.7692 10.2 1.0724 0.0304 -0.3701 0.4005
9900 12900 31.7811 10.9625 0.9465 -0.0239 -0.1371 0.1132
6300 100 38.8826 9.177 0.3259 -0.4869 -0.6827 0.1958
3700 5100 33.7014 9.2111 -999.9999 -999.9999 -999.9999 -999.9999
16300 900 32.8057 9.8572 0.2188 -0.6599 -0.4749 -0.185
18300 13500 32.803 9.6963 0.1414 -0.8495 -0.524 -0.3255
9500 6900 28.1686 9.445 0.1698 -0.77 -0.6008 -0.1692
17900 3100 31.2665 9.4253 -999.9999 -999.9999 -999.9999 -999.9999
9900 15500 32.3105 11.1819 -999.9999 -999.9999 -999.9999 -999.9999
7100 8900 33.1781 10.1201 0.4106 -0.3866 -0.3945 0.0079
19300 7100 32.7126 8.6302 0.1191 -0.9242 -0.8498 -0.0743
2300 5700 35.2432 10.2078 0.5339 -0.2726 -0.3677 0.0951
7300 8900 32.7271 10.879 -999.9999 -999.9999 -999.9999 -999.9999
