Temp[C],cp[J/kgK]
40.0, 881.113
45.0, 889.392
50.0, 896.739
55.0, 904.091
60.0, 911.635
65.0, 919.658
70.0, 926.468
75.0, 933.771
80.0, 940.364
85.0, 946.669
90.0, 953.123
95.0, 958.519
100.0, 964.818
105.0, 970.743
110.0, 977.204
115.0, 982.464
120.0, 987.650
125.0, 994.279
130.0, 999.458
135.0, 1004.791
140.0, 1010.396
145.0, 1016.213
150.0, 1022.223
155.0, 1027.795
160.0, 1033.033
165.0, 1039.316
170.0, 1044.560
175.0, 1049.805
180.0, 1054.149
185.0, 1059.591
190.0, 1065.642
195.0, 1070.499
200.0, 1075.463
205.0, 1081.373
210.0, 1087.708
215.0, 1094.598
220.0, 1100.008
225.0, 1107.004
230.0, 1113.067
235.0, 1120.081
240.0, 1127.308
245.0, 1131.584
250.0, 1133.431
