t[d],dt[d],T[C]
0.115740741,0.115740741,121.7902976
2.651058864,2.535318123,121.7317329
5.186376988,2.535318123,121.686248
7.721695111,2.535318123,121.6542034
10.25701323,2.535318123,121.6242192
12.79233136,2.535318123,121.5952976
15.32764948,2.535318123,121.5672821
17.8629676,2.535318123,121.5401056
20.39828573,2.535318123,121.5137069
22.93360385,2.535318123,121.4880337
25.46892198,2.535318123,121.4630265
28.0042401,2.535318123,121.438647
30.4166691,2.412429001,121.4154076
32.92930324,2.512634138,121.3928216
35.44193738,2.512634138,121.370271
37.95457151,2.512634138,121.3481981
40.46720565,2.512634138,121.3265726
42.97983979,2.512634138,121.305363
45.49247393,2.512634138,121.2845494
48.00510806,2.512634138,121.2641047
50.5177422,2.512634138,121.2440121
53.03037634,2.512634138,121.2242509
55.54301048,2.512634138,121.2048063
58.05564461,2.512634138,121.1856614
60.56827875,2.512634138,121.1668011
63.08091289,2.512634138,121.1482124
65.59354703,2.512634138,121.1298823
68.10618117,2.512634138,121.111798
70.6188153,2.512634138,121.0939462
73.13144944,2.512634138,121.0763096
75.64408358,2.512634138,121.0588832
78.15671772,2.512634138,121.0416586
80.66935185,2.512634138,121.0246294
83.18198599,2.512634138,121.007795
85.69462013,2.512634138,120.9911363
88.20725427,2.512634138,120.9746502
90.69457642,2.487322157,120.958411
93.18189858,2.487322157,120.9424143
95.66922074,2.487322157,120.9265702
98.1565429,2.487322157,120.9108685
100.6438651,2.487322157,120.8953168
103.1311872,2.487322157,120.8798961
105.6185094,2.487322157,120.8646018
108.1058315,2.487322157,120.8494425
110.5931537,2.487322157,120.8344086
113.0804758,2.487322157,120.8195006
115.567798,2.487322157,120.8047405
118.0551202,2.487322157,120.7900954
120.5424423,2.487322157,120.7755554
123.0297645,2.487322157,120.7611228
125.5170866,2.487322157,120.7467741
128.0044088,2.487322157,120.7324762
130.4917309,2.487322157,120.7183466
132.9790531,2.487322157,120.7043164
135.4663753,2.487322157,120.690376
137.9536974,2.487322157,120.676522
140.4410196,2.487322157,120.6627444
142.9283417,2.487322157,120.6490634
145.4156639,2.487322157,120.6353541
147.902986,2.487322157,120.6218094
150.3903082,2.487322157,120.6084039
152.8776304,2.487322157,120.59504
155.3649525,2.487322157,120.5817169
157.8522747,2.487322157,120.5685047
160.3395968,2.487322157,120.5553543
162.826919,2.487322157,120.5422447
165.3142411,2.487322157,120.5292277
167.8015633,2.487322157,120.5161973
170.2888855,2.487322157,120.5033073
172.7762076,2.487322157,120.4904402
175.2635298,2.487322157,120.4776532
177.7508519,2.487322157,120.4649536
180.2381741,2.487322157,120.4522672
182.7254963,2.487322157,120.439657
185.2128184,2.487322157,120.4271435
187.7001406,2.487322157,120.4146403
190.1874627,2.487322157,120.4022006
192.6747849,2.487322157,120.3898701
195.162107,2.487322157,120.3775903
197.6494292,2.487322157,120.3653725
200.1367514,2.487322157,120.3531933
202.6240735,2.487322157,120.3410731
205.1113957,2.487322157,120.3290171
207.5987178,2.487322157,120.3170179
210.08604,2.487322157,120.3050725
212.5733621,2.487322157,120.2931778
215.0606843,2.487322157,120.2813175
217.5480065,2.487322157,120.2695251
220.0353286,2.487322157,120.2577498
222.5226508,2.487322157,120.2460469
225.0099729,2.487322157,120.2343848
227.4972951,2.487322157,120.2227637
229.9846172,2.487322157,120.2111836
232.4719394,2.487322157,120.1996524
234.9592616,2.487322157,120.1881727
237.4465837,2.487322157,120.1767273
239.9339059,2.487322157,120.165315
242.421228,2.487322157,120.1539682
244.9085502,2.487322157,120.1426441
