T1(C),T2(C),Power(W),Time(min)
13.47,13.5,0,0
13.48,13.5,0,10
13.51,13.5,0,20
13.54,13.54,0,30
13.56,13.56,0,40
15.13,13.61,3400,50
16.09,14.57,3400,60
16.62,15.09,3400,70
17.04,15.53,3400,80
17.38,15.87,3400,90
17.69,16.16,3400,100
17.92,16.4,3400,110
18.15,16.62,3500,120
18.37,16.83,3400,130
18.54,17.01,3400,140
18.71,17.17,3400,150
18.86,17.33,3500,160
18.98,17.47,3400,170
19.09,17.59,3400,180
19.23,17.71,3400,190
19.36,17.81,3400,200
19.47,17.92,3500,210
19.55,18.01,3500,220
19.65,18.1,3500,230
19.69,18.18,3400,240
19.79,18.28,3500,250
19.86,18.35,3500,260
19.93,18.41,3400,270
20,18.48,3500,280
20.05,18.54,3400,290
20.09,18.58,3500,300
20.17,18.64,3500,310
20.24,18.71,3400,320
20.29,18.76,3500,330
20.32,18.82,3400,340
20.33,18.84,3400,350
20.41,18.89,3400,360
20.45,18.92,3400,370
20.47,18.96,3500,380
20.55,19.01,3500,390
20.58,19.05,3400,400
20.6,19.1,3500,410
20.67,19.14,3500,420
20.7,19.18,3500,430
20.74,19.2,3500,440
20.81,19.25,3500,450
20.77,19.28,3400,460
20.79,19.3,3400,470
20.82,19.32,3300,480
20.84,19.34,3400,490
20.89,19.38,3400,500
20.89,19.4,3400,510
20.94,19.43,3400,520
20.97,19.46,3400,530
21.01,19.48,3400,540
21.08,19.53,3500,550
21.12,19.56,3500,560
21.14,19.59,3500,570
21.2,19.64,3600,580
21.22,19.66,3500,590
21.24,19.69,3500,600
21.27,19.73,3500,610
21.31,19.75,3600,620
21.3,19.77,3400,630
21.29,19.78,3400,640
21.32,19.81,3500,650
21.32,19.82,3400,660
21.33,19.82,3400,670
21.35,19.84,3400,680
21.38,19.86,3500,690
21.4,19.87,3500,700
21.36,19.88,3300,710
21.37,19.89,3400,720
21.37,19.89,3400,730
21.42,19.89,3500,740
21.44,19.9,3500,750
21.45,19.95,3400,760
21.48,19.97,3400,770
21.51,19.98,3400,780
21.55,20.01,3400,790
21.53,20.04,3400,800
21.55,20.03,3500,810
21.58,20.06,3400,820
21.59,20.06,3400,830
21.61,20.08,3400,840
21.6,20.1,3500,850
21.62,20.1,3500,860
21.62,20.12,3500,870
21.65,20.13,3500,880
21.66,20.16,3500,890
21.67,20.16,3500,900
21.67,20.18,3400,910
21.73,20.19,3500,920
21.71,20.2,3400,930
21.74,20.21,3400,940
21.75,20.21,3400,950
21.73,20.22,3400,960
21.75,20.22,3500,970
21.75,20.25,3400,980
21.78,20.27,3400,990
21.78,20.27,3400,1000
21.79,20.29,3400,1010
21.82,20.29,3400,1020
21.82,20.31,3500,1030
21.83,20.33,3500,1040
21.84,20.34,3500,1050
21.83,20.32,3300,1060
21.85,20.34,3400,1070
21.87,20.36,3500,1080
21.85,20.36,3400,1090
21.84,20.36,3300,1100
21.81,20.35,3300,1110
21.78,20.32,3200,1120
21.78,20.32,3300,1130
21.81,20.33,3400,1140
21.79,20.34,3200,1150
21.81,20.32,3400,1160
21.77,20.32,3300,1170
21.83,20.34,3300,1180
21.81,20.35,3300,1190
21.88,20.38,3500,1200
21.87,20.37,3400,1210
21.89,20.41,3400,1220
21.9,20.41,3400,1230
21.92,20.43,3400,1240
21.9,20.41,3400,1250
21.91,20.45,3400,1260
21.91,20.43,3400,1270
21.87,20.42,3300,1280
21.92,20.44,3200,1290
