"time","x","y","z","uindex","i","j","k","head","temp","pres","satn","epot","vx","vy","vz","bhpr","kz"

0.000000000E+00,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.23008691E+04,0.48626128E+02,0.12101724E+02,0.00000000E+00,0.00000000E+00,0.13077156E-08,-0.13477370E-08,0.13889761E-08,0.00000000E+00,0.75000000E-13

0.250000000E+00,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22382881E+04,0.47118083E+02,0.11389285E+02,0.00000000E+00,0.00000000E+00,0.30681274E-04,0.31368652E-07,0.13657708E-07,0.00000000E+00,0.75000000E-13

0.500000000E+00,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22355939E+04,0.47193503E+02,0.11362773E+02,0.00000000E+00,0.00000000E+00,0.30687733E-04,0.35107855E-07,0.11799556E-07,0.00000000E+00,0.75000000E-13

0.750000000E+00,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22347373E+04,0.47189057E+02,0.11354481E+02,0.00000000E+00,0.00000000E+00,0.30672720E-04,0.37496338E-07,0.10913094E-07,0.00000000E+00,0.75000000E-13

0.100000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22342591E+04,0.47162418E+02,0.11349970E+02,0.00000000E+00,0.00000000E+00,0.30661251E-04,0.39645428E-07,0.10678551E-07,0.00000000E+00,0.75000000E-13

0.125000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22339425E+04,0.47128197E+02,0.11347063E+02,0.00000000E+00,0.00000000E+00,0.30651689E-04,0.41618529E-07,0.10758620E-07,0.00000000E+00,0.75000000E-13

0.150000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22337138E+04,0.47091274E+02,0.11345022E+02,0.00000000E+00,0.00000000E+00,0.30643277E-04,0.43412613E-07,0.10982688E-07,0.00000000E+00,0.75000000E-13

0.175000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22335385E+04,0.47053615E+02,0.11343503E+02,0.00000000E+00,0.00000000E+00,0.30635632E-04,0.45040753E-07,0.11268286E-07,0.00000000E+00,0.75000000E-13

0.200000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22333981E+04,0.47016069E+02,0.11342321E+02,0.00000000E+00,0.00000000E+00,0.30628542E-04,0.46525098E-07,0.11575195E-07,0.00000000E+00,0.75000000E-13

0.225000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22332816E+04,0.46979011E+02,0.11341369E+02,0.00000000E+00,0.00000000E+00,0.30621877E-04,0.47888098E-07,0.11883696E-07,0.00000000E+00,0.75000000E-13

0.250000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22331823E+04,0.46942600E+02,0.11340581E+02,0.00000000E+00,0.00000000E+00,0.30615552E-04,0.49149214E-07,0.12184274E-07,0.00000000E+00,0.75000000E-13

0.275000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22330957E+04,0.46906895E+02,0.11339913E+02,0.00000000E+00,0.00000000E+00,0.30609510E-04,0.50324183E-07,0.12472609E-07,0.00000000E+00,0.75000000E-13

0.300000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22330189E+04,0.46871906E+02,0.11339336E+02,0.00000000E+00,0.00000000E+00,0.30603712E-04,0.51425483E-07,0.12747059E-07,0.00000000E+00,0.75000000E-13

0.325000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22329498E+04,0.46837617E+02,0.11338830E+02,0.00000000E+00,0.00000000E+00,0.30598127E-04,0.52462994E-07,0.13007365E-07,0.00000000E+00,0.75000000E-13

0.350000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22328868E+04,0.46804002E+02,0.11338380E+02,0.00000000E+00,0.00000000E+00,0.30592732E-04,0.53444547E-07,0.13253958E-07,0.00000000E+00,0.75000000E-13

0.375000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22328289E+04,0.46771031E+02,0.11337976E+02,0.00000000E+00,0.00000000E+00,0.30587508E-04,0.54376437E-07,0.13487598E-07,0.00000000E+00,0.75000000E-13

0.400000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22327751E+04,0.46738670E+02,0.11337610E+02,0.00000000E+00,0.00000000E+00,0.30582440E-04,0.55263792E-07,0.13709171E-07,0.00000000E+00,0.75000000E-13

0.425000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22327248E+04,0.46706889E+02,0.11337274E+02,0.00000000E+00,0.00000000E+00,0.30577517E-04,0.56110856E-07,0.13919589E-07,0.00000000E+00,0.75000000E-13

0.450000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22326776E+04,0.46675658E+02,0.11336965E+02,0.00000000E+00,0.00000000E+00,0.30572727E-04,0.56921169E-07,0.14119734E-07,0.00000000E+00,0.75000000E-13

0.475000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22326328E+04,0.46644948E+02,0.11336678E+02,0.00000000E+00,0.00000000E+00,0.30568063E-04,0.57697745E-07,0.14310431E-07,0.00000000E+00,0.75000000E-13

0.500000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22325904E+04,0.46614733E+02,0.11336411E+02,0.00000000E+00,0.00000000E+00,0.30563515E-04,0.58443167E-07,0.14492438E-07,0.00000000E+00,0.75000000E-13

0.525000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22325499E+04,0.46584989E+02,0.11336160E+02,0.00000000E+00,0.00000000E+00,0.30559077E-04,0.59159681E-07,0.14666448E-07,0.00000000E+00,0.75000000E-13

0.550000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22325111E+04,0.46555693E+02,0.11335924E+02,0.00000000E+00,0.00000000E+00,0.30554743E-04,0.59849258E-07,0.14833085E-07,0.00000000E+00,0.75000000E-13

0.575000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22324738E+04,0.46526826E+02,0.11335700E+02,0.00000000E+00,0.00000000E+00,0.30550508E-04,0.60513642E-07,0.14992916E-07,0.00000000E+00,0.75000000E-13

0.600000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22324380E+04,0.46498367E+02,0.11335488E+02,0.00000000E+00,0.00000000E+00,0.30546365E-04,0.61154383E-07,0.15146451E-07,0.00000000E+00,0.75000000E-13

