time,temp,bhpr         
%
  0.000000000E+00,0.63678366E+02,0.13809396E+02
%
  0.250000000E+00,0.62010469E+02,0.12228717E+02
%
  0.500000000E+00,0.62398144E+02,0.12194957E+02
%
  0.750000000E+00,0.62602669E+02,0.12188770E+02
%
  0.100000000E+01,0.62714508E+02,0.12185374E+02
%
  0.125000000E+01,0.62780913E+02,0.12182645E+02
%
  0.150000000E+01,0.62822468E+02,0.12180272E+02
%
  0.175000000E+01,0.62849149E+02,0.12178182E+02
%
  0.200000000E+01,0.62866277E+02,0.12176336E+02
%
  0.225000000E+01,0.62876929E+02,0.12174702E+02
%
  0.250000000E+01,0.62882976E+02,0.12173250E+02
%
  0.275000000E+01,0.62885622E+02,0.12171953E+02
%
  0.300000000E+01,0.62885672E+02,0.12170787E+02
%
  0.325000000E+01,0.62883681E+02,0.12169731E+02
%
  0.350000000E+01,0.62880044E+02,0.12168766E+02
%
  0.375000000E+01,0.62875048E+02,0.12167877E+02
%
  0.400000000E+01,0.62868909E+02,0.12167050E+02
%
  0.425000000E+01,0.62861790E+02,0.12166274E+02
%
  0.450000000E+01,0.62853817E+02,0.12165540E+02
%
  0.475000000E+01,0.62845090E+02,0.12164839E+02
%
  0.500000000E+01,0.62835686E+02,0.12164165E+02
%
  0.525000000E+01,0.62825667E+02,0.12163513E+02
%
  0.550000000E+01,0.62815082E+02,0.12162876E+02
%
  0.575000000E+01,0.62803967E+02,0.12162252E+02
%
  0.600000000E+01,0.62792351E+02,0.12161636E+02
%
  0.625000000E+01,0.62780251E+02,0.12161025E+02
%
  0.650000000E+01,0.62767678E+02,0.12160417E+02
%
  0.675000000E+01,0.62754635E+02,0.12159809E+02
%
  0.700000000E+01,0.62741117E+02,0.12159198E+02
%
  0.725000000E+01,0.62727112E+02,0.12158582E+02
%
  0.750000000E+01,0.62712603E+02,0.12157958E+02
%
  0.775000000E+01,0.62697566E+02,0.12157326E+02
%
  0.800000000E+01,0.62681971E+02,0.12156682E+02
%
  0.825000000E+01,0.62665784E+02,0.12156025E+02
%
  0.850000000E+01,0.62648967E+02,0.12155352E+02
%
  0.875000000E+01,0.62631479E+02,0.12154662E+02
%
  0.900000000E+01,0.62613276E+02,0.12153951E+02
%
  0.925000000E+01,0.62594313E+02,0.12153220E+02
%
  0.950000000E+01,0.62574547E+02,0.12152465E+02
%
  0.975000000E+01,0.62553933E+02,0.12151684E+02
%
  0.100000000E+02,0.62532430E+02,0.12150877E+02
%
  0.102500000E+02,0.62509999E+02,0.12150042E+02
%
  0.105000000E+02,0.62486605E+02,0.12149177E+02
%
  0.107500000E+02,0.62462216E+02,0.12148280E+02
%
  0.110000000E+02,0.62436807E+02,0.12147352E+02
%
  0.112500000E+02,0.62410356E+02,0.12146391E+02
%
  0.115000000E+02,0.62382849E+02,0.12145396E+02
%
  0.117500000E+02,0.62354275E+02,0.12144367E+02
%
  0.120000000E+02,0.62324630E+02,0.12143304E+02
%
  0.122500000E+02,0.62293917E+02,0.12142206E+02
%
  0.125000000E+02,0.62262141E+02,0.12141073E+02
%
  0.127500000E+02,0.62229314E+02,0.12139906E+02
%
  0.130000000E+02,0.62195453E+02,0.12138706E+02
%
  0.132500000E+02,0.62160578E+02,0.12137471E+02
%
  0.135000000E+02,0.62124713E+02,0.12136204E+02
%
  0.137500000E+02,0.62087886E+02,0.12134904E+02
%
  0.140000000E+02,0.62050125E+02,0.12133572E+02
%
  0.142500000E+02,0.62011463E+02,0.12132210E+02
%
  0.145000000E+02,0.61971934E+02,0.12130818E+02
%
  0.147500000E+02,0.61931573E+02,0.12129398E+02
%
  0.150000000E+02,0.61890414E+02,0.12127949E+02
%
  0.152500000E+02,0.61848495E+02,0.12126473E+02
%
  0.155000000E+02,0.61805850E+02,0.12124972E+02
%
  0.157500000E+02,0.61762517E+02,0.12123445E+02
%
  0.160000000E+02,0.61718529E+02,0.12121895E+02
%
  0.162500000E+02,0.61673921E+02,0.12120322E+02
%
  0.165000000E+02,0.61628728E+02,0.12118727E+02
%
  0.167500000E+02,0.61582980E+02,0.12117110E+02
%
  0.170000000E+02,0.61536710E+02,0.12115474E+02
%
  0.172500000E+02,0.61489948E+02,0.12113818E+02
%
  0.175000000E+02,0.61442720E+02,0.12112144E+02
%
  0.177500000E+02,0.61395056E+02,0.12110453E+02
%
  0.180000000E+02,0.61346980E+02,0.12108744E+02
%
  0.182500000E+02,0.61298516E+02,0.12107019E+02
%
  0.185000000E+02,0.61249688E+02,0.12105279E+02
%
  0.187500000E+02,0.61200517E+02,0.12103524E+02
%
  0.190000000E+02,0.61151023E+02,0.12101756E+02
%
  0.192500000E+02,0.61101225E+02,0.12099973E+02
%
  0.195000000E+02,0.61051140E+02,0.12098178E+02
%
  0.197500000E+02,0.61000786E+02,0.12096370E+02
%
  0.200000000E+02,0.60950179E+02,0.12094550E+02
%
  0.202500000E+02,0.60899331E+02,0.12092718E+02
%
  0.205000000E+02,0.60848258E+02,0.12090876E+02
%
  0.207500000E+02,0.60796972E+02,0.12089023E+02
%
  0.210000000E+02,0.60745486E+02,0.12087159E+02
%
  0.212500000E+02,0.60693809E+02,0.12085286E+02
%
  0.215000000E+02,0.60641954E+02,0.12083404E+02
%
  0.217500000E+02,0.60589931E+02,0.12081512E+02
%
  0.220000000E+02,0.60537749E+02,0.12079611E+02
%
  0.222500000E+02,0.60485417E+02,0.12077702E+02
%
  0.225000000E+02,0.60432944E+02,0.12075784E+02
%
  0.227500000E+02,0.60380338E+02,0.12073859E+02
%
  0.230000000E+02,0.60327608E+02,0.12071926E+02
%
  0.232500000E+02,0.60274761E+02,0.12069986E+02
%
  0.235000000E+02,0.60221805E+02,0.12068038E+02
%
  0.237500000E+02,0.60168748E+02,0.12066084E+02
%
  0.240000000E+02,0.60115596E+02,0.12064123E+02
%
  0.242500000E+02,0.60062356E+02,0.12062156E+02
%
  0.245000000E+02,0.60009036E+02,0.12060182E+02
%
  0.247500000E+02,0.59955642E+02,0.12058203E+02
%
  0.250000000E+02,0.59902181E+02,0.12056218E+02
%
  0.252500000E+02,0.59848660E+02,0.12054228E+02
%
  0.255000000E+02,0.59795084E+02,0.12052233E+02
%
  0.257500000E+02,0.59741462E+02,0.12050233E+02
%
  0.260000000E+02,0.59687798E+02,0.12048228E+02
%
  0.262500000E+02,0.59634100E+02,0.12046218E+02
%
  0.265000000E+02,0.59580374E+02,0.12044204E+02
%
  0.267500000E+02,0.59526627E+02,0.12042187E+02
%
  0.270000000E+02,0.59472864E+02,0.12040165E+02
%
  0.272500000E+02,0.59419092E+02,0.12038140E+02
%
  0.275000000E+02,0.59365318E+02,0.12036112E+02
%
  0.277500000E+02,0.59311548E+02,0.12034080E+02
%
  0.280000000E+02,0.59257788E+02,0.12032046E+02
%
  0.282500000E+02,0.59204044E+02,0.12030009E+02
%
  0.285000000E+02,0.59150323E+02,0.12027970E+02
%
  0.287500000E+02,0.59096631E+02,0.12025928E+02
%
  0.290000000E+02,0.59042973E+02,0.12023885E+02
%
  0.292500000E+02,0.58989357E+02,0.12021840E+02
%
  0.295000000E+02,0.58935789E+02,0.12019793E+02
%
  0.297500000E+02,0.58882273E+02,0.12017745E+02
%
  0.300000000E+02,0.58828818E+02,0.12015697E+02
%
  0.302500000E+02,0.58775427E+02,0.12013647E+02
%
  0.305000000E+02,0.58722108E+02,0.12011597E+02
%
  0.307500000E+02,0.58668866E+02,0.12009546E+02
%
  0.310000000E+02,0.58615707E+02,0.12007495E+02
%
  0.312500000E+02,0.58562636E+02,0.12005445E+02
%
  0.315000000E+02,0.58509659E+02,0.12003395E+02
%
  0.317500000E+02,0.58456782E+02,0.12001345E+02
%
  0.320000000E+02,0.58404010E+02,0.11999296E+02
%
  0.322500000E+02,0.58351347E+02,0.11997248E+02
%
  0.325000000E+02,0.58298801E+02,0.11995201E+02
%
  0.327500000E+02,0.58246374E+02,0.11993156E+02
%
  0.330000000E+02,0.58194073E+02,0.11991112E+02
%
  0.332500000E+02,0.58141902E+02,0.11989070E+02
%
  0.335000000E+02,0.58089866E+02,0.11987030E+02
%
