time,temp,bhpr
  0.000000000E+00,0.63678366E+02,0.14410849E+02
%
  0.250000000E+00,0.62639227E+02,0.13507996E+02
%
  0.500000000E+00,0.62840828E+02,0.13488223E+02
%
  0.750000000E+00,0.62965564E+02,0.13483643E+02
%
  0.100000000E+01,0.63041188E+02,0.13481197E+02
%
  0.125000000E+01,0.63090449E+02,0.13479442E+02
%
  0.150000000E+01,0.63124330E+02,0.13478056E+02
%
  0.175000000E+01,0.63148506E+02,0.13476922E+02
%
  0.200000000E+01,0.63166169E+02,0.13475979E+02
%
  0.225000000E+01,0.63179240E+02,0.13475189E+02
%
  0.250000000E+01,0.63188943E+02,0.13474522E+02
%
  0.275000000E+01,0.63196094E+02,0.13473956E+02
%
  0.300000000E+01,0.63201256E+02,0.13473474E+02
%
  0.325000000E+01,0.63204829E+02,0.13473059E+02
%
  0.350000000E+01,0.63207108E+02,0.13472702E+02
%
  0.375000000E+01,0.63208313E+02,0.13472391E+02
%
  0.400000000E+01,0.63208614E+02,0.13472120E+02
%
  0.425000000E+01,0.63208142E+02,0.13471880E+02
%
  0.450000000E+01,0.63207002E+02,0.13471668E+02
%
  0.475000000E+01,0.63205278E+02,0.13471477E+02
%
  0.500000000E+01,0.63203039E+02,0.13471305E+02
%
  0.525000000E+01,0.63200342E+02,0.13471149E+02
%
  0.550000000E+01,0.63197236E+02,0.13471004E+02
%
  0.575000000E+01,0.63193760E+02,0.13470871E+02
%
  0.600000000E+01,0.63189948E+02,0.13470745E+02
%
  0.625000000E+01,0.63185832E+02,0.13470627E+02
%
  0.650000000E+01,0.63181435E+02,0.13470515E+02
%
  0.675000000E+01,0.63176781E+02,0.13470408E+02
%
  0.700000000E+01,0.63171890E+02,0.13470304E+02
%
  0.725000000E+01,0.63166778E+02,0.13470204E+02
%
  0.750000000E+01,0.63161462E+02,0.13470106E+02
%
  0.775000000E+01,0.63155955E+02,0.13470010E+02
%
  0.800000000E+01,0.63150269E+02,0.13469915E+02
%
  0.825000000E+01,0.63144415E+02,0.13469822E+02
%
  0.850000000E+01,0.63138403E+02,0.13469730E+02
%
  0.875000000E+01,0.63132242E+02,0.13469639E+02
%
  0.900000000E+01,0.63125941E+02,0.13469548E+02
%
  0.925000000E+01,0.63119506E+02,0.13469457E+02
%
  0.950000000E+01,0.63112945E+02,0.13469366E+02
%
  0.975000000E+01,0.63106262E+02,0.13469275E+02
%
  0.100000000E+02,0.63099465E+02,0.13469184E+02
%
  0.102500000E+02,0.63092556E+02,0.13469093E+02
%
  0.105000000E+02,0.63085542E+02,0.13469001E+02
%
  0.107500000E+02,0.63078427E+02,0.13468909E+02
%
  0.110000000E+02,0.63071212E+02,0.13468817E+02
%
  0.112500000E+02,0.63063903E+02,0.13468724E+02
%
  0.115000000E+02,0.63056502E+02,0.13468630E+02
%
  0.117500000E+02,0.63049011E+02,0.13468536E+02
%
