"time","head","temp","pres"

0.000000000E+00,0.23008691E+04,0.48626128E+02,0.12101724E+02

0.250000000E+00,0.22540669E+04,0.47349143E+02,0.11541273E+02

0.500000000E+00,0.22520405E+04,0.47391929E+02,0.11521398E+02

0.750000000E+00,0.22513954E+04,0.47379447E+02,0.11515200E+02

0.100000000E+01,0.22510376E+04,0.47352310E+02,0.11511862E+02

0.125000000E+01,0.22508023E+04,0.47320524E+02,0.11509735E+02

0.150000000E+01,0.22506336E+04,0.47287237E+02,0.11508262E+02

0.175000000E+01,0.22505052E+04,0.47253731E+02,0.11507180E+02

0.200000000E+01,0.22504030E+04,0.47220573E+02,0.11506352E+02

0.225000000E+01,0.22503188E+04,0.47188007E+02,0.11505695E+02

0.250000000E+01,0.22502476E+04,0.47156132E+02,0.11505160E+02

0.275000000E+01,0.22501858E+04,0.47124973E+02,0.11504714E+02

0.300000000E+01,0.22501314E+04,0.47094520E+02,0.11504335E+02

0.325000000E+01,0.22500827E+04,0.47064747E+02,0.11504008E+02

0.350000000E+01,0.22500386E+04,0.47035621E+02,0.11503723E+02

0.375000000E+01,0.22499983E+04,0.47007108E+02,0.11503471E+02

0.400000000E+01,0.22499610E+04,0.46979170E+02,0.11503246E+02

0.425000000E+01,0.22499264E+04,0.46951776E+02,0.11503044E+02

0.450000000E+01,0.22498940E+04,0.46924893E+02,0.11502860E+02

0.475000000E+01,0.22498634E+04,0.46898491E+02,0.11502693E+02

0.500000000E+01,0.22498346E+04,0.46872545E+02,0.11502540E+02

0.525000000E+01,0.22498071E+04,0.46847028E+02,0.11502398E+02

0.550000000E+01,0.22497810E+04,0.46821918E+02,0.11502267E+02

0.575000000E+01,0.22497560E+04,0.46797194E+02,0.11502145E+02

0.600000000E+01,0.22497320E+04,0.46772837E+02,0.11502030E+02

0.625000000E+01,0.22497089E+04,0.46748829E+02,0.11501923E+02

0.650000000E+01,0.22496866E+04,0.46725155E+02,0.11501822E+02

0.675000000E+01,0.22496651E+04,0.46701798E+02,0.11501727E+02

0.700000000E+01,0.22496442E+04,0.46678746E+02,0.11501637E+02

0.725000000E+01,0.22496240E+04,0.46655985E+02,0.11501551E+02

0.750000000E+01,0.22496044E+04,0.46633504E+02,0.11501470E+02

0.775000000E+01,0.22495853E+04,0.46611291E+02,0.11501392E+02

0.800000000E+01,0.22495666E+04,0.46589337E+02,0.11501318E+02

0.825000000E+01,0.22495485E+04,0.46567632E+02,0.11501247E+02

0.850000000E+01,0.22495308E+04,0.46546166E+02,0.11501180E+02

0.875000000E+01,0.22495134E+04,0.46524932E+02,0.11501114E+02

0.900000000E+01,0.22494965E+04,0.46503921E+02,0.11501052E+02

0.925000000E+01,0.22494799E+04,0.46483127E+02,0.11500992E+02

0.950000000E+01,0.22494636E+04,0.46462542E+02,0.11500933E+02

0.975000000E+01,0.22494477E+04,0.46442159E+02,0.11500877E+02

0.100000000E+02,0.22494320E+04,0.46421972E+02,0.11500823E+02

0.102500000E+02,0.22494167E+04,0.46401976E+02,0.11500771E+02

0.105000000E+02,0.22494016E+04,0.46382165E+02,0.11500720E+02

0.107500000E+02,0.22493867E+04,0.46362534E+02,0.11500671E+02

0.110000000E+02,0.22493721E+04,0.46343076E+02,0.11500623E+02

0.112500000E+02,0.22493577E+04,0.46323789E+02,0.11500577E+02

0.115000000E+02,0.22493436E+04,0.46304666E+02,0.11500532E+02

0.117500000E+02,0.22493296E+04,0.46285704E+02,0.11500488E+02

0.120000000E+02,0.22493159E+04,0.46266899E+02,0.11500445E+02

0.122500000E+02,0.22493023E+04,0.46248247E+02,0.11500404E+02

0.125000000E+02,0.22492889E+04,0.46229743E+02,0.11500363E+02

0.127500000E+02,0.22492757E+04,0.46211384E+02,0.11500323E+02

0.130000000E+02,0.22492626E+04,0.46193166E+02,0.11500285E+02

0.132500000E+02,0.22492498E+04,0.46175087E+02,0.11500247E+02

0.135000000E+02,0.22492370E+04,0.46157143E+02,0.11500210E+02

0.137500000E+02,0.22492244E+04,0.46139331E+02,0.11500173E+02

0.140000000E+02,0.22492120E+04,0.46121648E+02,0.11500137E+02

0.142500000E+02,0.22491997E+04,0.46104090E+02,0.11500102E+02

0.145000000E+02,0.22491875E+04,0.46086656E+02,0.11500068E+02

0.147500000E+02,0.22491754E+04,0.46069342E+02,0.11500034E+02

0.150000000E+02,0.22491635E+04,0.46052147E+02,0.11500001E+02

0.152500000E+02,0.22491517E+04,0.46035066E+02,0.11499969E+02

0.155000000E+02,0.22491399E+04,0.46018099E+02,0.11499936E+02

0.157500000E+02,0.22491283E+04,0.46001243E+02,0.11499905E+02

0.160000000E+02,0.22491168E+04,0.45984495E+02,0.11499874E+02

0.162500000E+02,0.22491054E+04,0.45967854E+02,0.11499843E+02

0.165000000E+02,0.22490941E+04,0.45951316E+02,0.11499812E+02

0.167500000E+02,0.22490829E+04,0.45934881E+02,0.11499782E+02

0.170000000E+02,0.22490718E+04,0.45918546E+02,0.11499753E+02

0.172500000E+02,0.22490607E+04,0.45902310E+02,0.11499724E+02

0.175000000E+02,0.22490498E+04,0.45886170E+02,0.11499695E+02

0.177500000E+02,0.22490389E+04,0.45870125E+02,0.11499666E+02

0.180000000E+02,0.22490281E+04,0.45854172E+02,0.11499638E+02

0.182500000E+02,0.22490174E+04,0.45838311E+02,0.11499610E+02

0.185000000E+02,0.22490068E+04,0.45822540E+02,0.11499582E+02

0.187500000E+02,0.22489962E+04,0.45806856E+02,0.11499554E+02

0.190000000E+02,0.22489857E+04,0.45791259E+02,0.11499527E+02

0.192500000E+02,0.22489753E+04,0.45775747E+02,0.11499500E+02

0.195000000E+02,0.22489649E+04,0.45760318E+02,0.11499473E+02

0.197500000E+02,0.22489546E+04,0.45744972E+02,0.11499447E+02

0.200000000E+02,0.22489444E+04,0.45729706E+02,0.11499420E+02

0.202500000E+02,0.22489342E+04,0.45714519E+02,0.11499394E+02

0.205000000E+02,0.22489240E+04,0.45699411E+02,0.11499368E+02

0.207500000E+02,0.22489140E+04,0.45684379E+02,0.11499342E+02

0.210000000E+02,0.22489040E+04,0.45669423E+02,0.11499316E+02

0.212500000E+02,0.22488940E+04,0.45654541E+02,0.11499291E+02

0.215000000E+02,0.22488841E+04,0.45639732E+02,0.11499265E+02

0.217500000E+02,0.22488743E+04,0.45624996E+02,0.11499240E+02

0.220000000E+02,0.22488645E+04,0.45610329E+02,0.11499215E+02

0.222500000E+02,0.22488547E+04,0.45595733E+02,0.11499190E+02

