%       "time"           "x"            "y"           "z"      "uindex"    "i"  "j"  "k"          "head"           "temp"           "pres"    "satn"           "epot"             "vx"             "vy"             "vz"          "bhpr"            "kz" 
%
  0.000000000E+00  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.22975122E+04   0.58717238E+02   0.15985011E+02   0.00000000E+00   0.00000000E+00  -0.15038683E-09  -0.46637592E-09  -0.11575419E-08   0.15432531E+02   0.48500000E-13
%
  0.250000000E+00  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21714167E+04   0.57721726E+02   0.14550319E+02   0.00000000E+00   0.00000000E+00   0.27740669E-06  -0.12773185E-06   0.24990350E-07   0.13989720E+02   0.48500000E-13
%
  0.500000000E+00  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21693827E+04   0.58071370E+02   0.14528127E+02   0.00000000E+00   0.00000000E+00   0.39876377E-06  -0.16074691E-06   0.25401768E-07   0.13970531E+02   0.48500000E-13
%
  0.750000000E+00  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21691319E+04   0.58270582E+02   0.14524247E+02   0.00000000E+00   0.00000000E+00   0.47994309E-06  -0.18097425E-06   0.25502493E-07   0.13968348E+02   0.48500000E-13
%
  0.100000000E+01  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21691164E+04   0.58408307E+02   0.14523087E+02   0.00000000E+00   0.00000000E+00   0.54190758E-06  -0.19585612E-06   0.25701545E-07   0.13968356E+02   0.48500000E-13
%
  0.125000000E+01  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21691565E+04   0.58513966E+02   0.14522698E+02   0.00000000E+00   0.00000000E+00   0.59196461E-06  -0.20770687E-06   0.26009367E-07   0.13968860E+02   0.48500000E-13
%
  0.150000000E+01  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21692119E+04   0.58600015E+02   0.14522600E+02   0.00000000E+00   0.00000000E+00   0.63393644E-06  -0.21757975E-06   0.26390984E-07   0.13969487E+02   0.48500000E-13
%
  0.175000000E+01  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21692707E+04   0.58672936E+02   0.14522630E+02   0.00000000E+00   0.00000000E+00   0.67010200E-06  -0.22605321E-06   0.26815510E-07   0.13970131E+02   0.48500000E-13
%
  0.200000000E+01  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21693290E+04   0.58736611E+02   0.14522724E+02   0.00000000E+00   0.00000000E+00   0.70191846E-06  -0.23348084E-06   0.27262110E-07   0.13970759E+02   0.48500000E-13
%
  0.225000000E+01  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21693854E+04   0.58793429E+02   0.14522849E+02   0.00000000E+00   0.00000000E+00   0.73036384E-06  -0.24009467E-06   0.27717831E-07   0.13971361E+02   0.48500000E-13
%
  0.250000000E+01  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21694395E+04   0.58844986E+02   0.14522991E+02   0.00000000E+00   0.00000000E+00   0.75612068E-06  -0.24605554E-06   0.28174923E-07   0.13971935E+02   0.48500000E-13
%
  0.275000000E+01  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21694913E+04   0.58892382E+02   0.14523141E+02   0.00000000E+00   0.00000000E+00   0.77968106E-06  -0.25147956E-06   0.28628838E-07   0.13972481E+02   0.48500000E-13
%
  0.300000000E+01  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21695408E+04   0.58936408E+02   0.14523294E+02   0.00000000E+00   0.00000000E+00   0.80140976E-06  -0.25645355E-06   0.29076954E-07   0.13973001E+02   0.48500000E-13
%
  0.325000000E+01  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21695883E+04   0.58977646E+02   0.14523447E+02   0.00000000E+00   0.00000000E+00   0.82158390E-06  -0.26104418E-06   0.29517802E-07   0.13973499E+02   0.48500000E-13
%
  0.350000000E+01  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21696340E+04   0.59016538E+02   0.14523600E+02   0.00000000E+00   0.00000000E+00   0.84041888E-06  -0.26530366E-06   0.29950595E-07   0.13973976E+02   0.48500000E-13
%
  0.375000000E+01  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21696779E+04   0.59053426E+02   0.14523751E+02   0.00000000E+00   0.00000000E+00   0.85808528E-06  -0.26927385E-06   0.30374955E-07   0.13974434E+02   0.48500000E-13
%
  0.400000000E+01  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21697204E+04   0.59088581E+02   0.14523900E+02   0.00000000E+00   0.00000000E+00   0.87472053E-06  -0.27298867E-06   0.30790763E-07   0.13974876E+02   0.48500000E-13
%
  0.425000000E+01  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21697615E+04   0.59122218E+02   0.14524048E+02   0.00000000E+00   0.00000000E+00   0.89043728E-06  -0.27647616E-06   0.31198039E-07   0.13975303E+02   0.48500000E-13
%
  0.450000000E+01  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21698014E+04   0.59154514E+02   0.14524194E+02   0.00000000E+00   0.00000000E+00   0.90532889E-06  -0.27975948E-06   0.31596902E-07   0.13975717E+02   0.48500000E-13
%
  0.475000000E+01  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21698403E+04   0.59185613E+02   0.14524338E+02   0.00000000E+00   0.00000000E+00   0.91947385E-06  -0.28285842E-06   0.31987526E-07   0.13976119E+02   0.48500000E-13
%
  0.500000000E+01  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21698781E+04   0.59215637E+02   0.14524480E+02   0.00000000E+00   0.00000000E+00   0.93293883E-06  -0.28578949E-06   0.32370117E-07   0.13976511E+02   0.48500000E-13
%
  0.525000000E+01  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21699150E+04   0.59244685E+02   0.14524621E+02   0.00000000E+00   0.00000000E+00   0.94578092E-06  -0.28856702E-06   0.32744902E-07   0.13976892E+02   0.48500000E-13
%
  0.550000000E+01  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21699511E+04   0.59272845E+02   0.14524760E+02   0.00000000E+00   0.00000000E+00   0.95804967E-06  -0.29120351E-06   0.33112113E-07   0.13977265E+02   0.48500000E-13
%
  0.575000000E+01  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21699864E+04   0.59300189E+02   0.14524898E+02   0.00000000E+00   0.00000000E+00   0.96978817E-06  -0.29370964E-06   0.33471989E-07   0.13977629E+02   0.48500000E-13
%
  0.600000000E+01  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21700211E+04   0.59326780E+02   0.14525035E+02   0.00000000E+00   0.00000000E+00   0.98103429E-06  -0.29609491E-06   0.33824771E-07   0.13977985E+02   0.48500000E-13
%
  0.625000000E+01  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21700550E+04   0.59352673E+02   0.14525170E+02   0.00000000E+00   0.00000000E+00   0.99182148E-06  -0.29836765E-06   0.34170691E-07   0.13978334E+02   0.48500000E-13
%
  0.650000000E+01  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21700884E+04   0.59377917E+02   0.14525304E+02   0.00000000E+00   0.00000000E+00   0.10021795E-05  -0.30053527E-06   0.34509983E-07   0.13978677E+02   0.48500000E-13
%
  0.675000000E+01  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21701211E+04   0.59402553E+02   0.14525437E+02   0.00000000E+00   0.00000000E+00   0.10121350E-05  -0.30260439E-06   0.34842869E-07   0.13979013E+02   0.48500000E-13
%
  0.700000000E+01  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21701533E+04   0.59426618E+02   0.14525569E+02   0.00000000E+00   0.00000000E+00   0.10217118E-05  -0.30458095E-06   0.35169569E-07   0.13979343E+02   0.48500000E-13
%
  0.725000000E+01  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21701850E+04   0.59450145E+02   0.14525699E+02   0.00000000E+00   0.00000000E+00   0.10309316E-05  -0.30647028E-06   0.35490293E-07   0.13979667E+02   0.48500000E-13
%
  0.750000000E+01  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21702161E+04   0.59473165E+02   0.14525828E+02   0.00000000E+00   0.00000000E+00   0.10398137E-05  -0.30827728E-06   0.35805251E-07   0.13979986E+02   0.48500000E-13
%
  0.775000000E+01  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21702468E+04   0.59495703E+02   0.14525956E+02   0.00000000E+00   0.00000000E+00   0.10483762E-05  -0.31000633E-06   0.36114635E-07   0.13980300E+02   0.48500000E-13
%
  0.800000000E+01  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21702770E+04   0.59517784E+02   0.14526083E+02   0.00000000E+00   0.00000000E+00   0.10566351E-05  -0.31166143E-06   0.36418637E-07   0.13980609E+02   0.48500000E-13
%
  0.825000000E+01  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21703068E+04   0.59539428E+02   0.14526209E+02   0.00000000E+00   0.00000000E+00   0.10646053E-05  -0.31324625E-06   0.36717437E-07   0.13980912E+02   0.48500000E-13
%
  0.850000000E+01  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21703361E+04   0.59560657E+02   0.14526334E+02   0.00000000E+00   0.00000000E+00   0.10723005E-05  -0.31476421E-06   0.37011222E-07   0.13981212E+02   0.48500000E-13
%
  0.875000000E+01  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21703650E+04   0.59581488E+02   0.14526458E+02   0.00000000E+00   0.00000000E+00   0.10797333E-05  -0.31621843E-06   0.37300154E-07   0.13981506E+02   0.48500000E-13
%
  0.900000000E+01  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21703935E+04   0.59601938E+02   0.14526580E+02   0.00000000E+00   0.00000000E+00   0.10869153E-05  -0.31761169E-06   0.37584397E-07   0.13981797E+02   0.48500000E-13
%
  0.925000000E+01  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21704216E+04   0.59622021E+02   0.14526701E+02   0.00000000E+00   0.00000000E+00   0.10938573E-05  -0.31894674E-06   0.37864106E-07   0.13982083E+02   0.48500000E-13
%
  0.950000000E+01  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21704493E+04   0.59641752E+02   0.14526822E+02   0.00000000E+00   0.00000000E+00   0.11005693E-05  -0.32022605E-06   0.38139437E-07   0.13982365E+02   0.48500000E-13
%
